feature	AC	BC	PC
CB10	-0.0849343432415194	-0.302562770020431	-0.0534675551445111
CB11	-0.138749105559135	-0.275224946700574	0.0139391909578738
CB12	-0.252635456551541	-0.993873897203159	0.0152667566533106
CB13	-0.125952661078499	-0.211097242323791	-0.00154712619747842
CB14	-0.211662304112768	-0.359996135720882	-0.012072832300575
CB15	0.109731440656803	-0.923151921156981	0.16943768678107
CB16	1.03194289250275	-4.55512727118039	-0.36564947231668
CB17	4.25735609359128	3.06180528447347	4.71493928783621
CB18	0.557534012195511	-0.0163944382506686	1.36686549990122
CB19	-1.11810459938976	1.48272430679042	4.05068038220588
CB21	5.93910522047369	0.947877268923867	3.23562824849314
CB23	-0.0433274316641007	-2.55288252972723	-0.603866458446039
CB24	0.64320764175711	-1.46227117115984	-0.208946890271496
CB25	-0.110947558939422	-2.3730777372031	-0.854712985210969
CB26	-7.76415042349244	-6.96578428466209	-3.56149422021725
CB27	-0.0928787761373112	-1.7910142372147	-0.441808728074484
CB28	0.176628541738389	-0.995687007128917	-0.107579887199815
CB33	0.325190881896363	0.540738500464473	0.613709554766712
CB36	-0.00288827932482651	-4.27928375747887	-1.36587144247496
CB46	-0.326619790212084	-0.774933444365227	0.480063642403149
CB50	-0.498340145973405	0.455530683297394	-0.119052671643763
CB51	1.29813210648319	0.521408803079248	0.980840421716545
CB55	-0.885195524509199	-1.85325263200645	0.13352367283739
CB57	-0.223243820027956	0.179821037584812	1.20218885061327
CB58	-0.421314644965004	-0.725182768307376	0.29707884316478
CB59	-1.83811231762311	-1.72947105761928	-0.995498607765059
CB61	-0.448305380656918	-0.709309251263341	-0.233917845153548
CB63	1.26456187558039	-2.01969580134092	0.0362201879127532
CB64	0.64890941750101	-0.178253985636774	0.13865353978603
CB66	0.508904422743066	-2.64942351660988	0.402862785332742
CB67	0.0698214494975714	-0.0119726416660759	0.0923640181486596
CB68	0.0147970019280805	0.0367117783565213	-0.00895160084452838
CB69	1.00566875008669	-1.02752442863553	0.640671933307444
CB70	-1.26186670440146	-2.03348384522263	-0.593750517991141
CB72	-0.8306800289884	-3.7981294568446	-0.0442240002566834
CB80	-3.45423538699149	-1.42000375217219	-1.24236083756904
CB82	-1.41267048473493	-1.84515695476999	0.143628257734085
CB86	0.0352146925840579	0.101212251358298	-0.0275210627639044
CB87	-1.13927478860213	-0.723019311166612	0.264140343059963
CB88	-1.11374216604919	-1.90428880042024	-0.309611144865871
CB89	-0.588337227501813	-0.499880999831388	-0.0479800289018218
CB92	-1.18126768795024	-0.50467471176352	-0.0621564760625695
CB93	-1.71097038563326	-2.14909149802515	-0.564128997303991
CB95	-1.58024009047875	-2.15674101245171	-0.159908291530396
CB96	-1.5568701936918	-3.47123203873146	-0.336182078567604
CB98	-3.8493133200317	-2.83583009066808	-1.15357038859201
