feature	acetate	propionate	isobutyrate	butyrate
CB10	10.435486703962	5.66030098632864	6.30399539846049	6.70558464305864
CB11	9.98325490882072	5.82760734608405	-1.12553088208386	3.50990693199754
CB12	9.90360431911867	6.08841605901933	-0.58820816022481	-3.09722180771267
CB13	11.4727051996109	6.16592709135332	6.47188200258045	6.96261197245484
CB14	10.4058882868797	6.42140345847554	4.34788178576183	9.66457590993146
CB15	7.77200152302732	-0.284541678997254	-4.38887833881199	0.159558285884053
CB16	10.7494785343849	NA	4.25178869986618	6.82054744419898
CB17	8.81599671519668	0.799906245772326	-2.08939028982145	5.09548505308683
CB18	10.1779835842069	3.64755983523467	3.39620967920284	6.16410969426674
CB19	10.7756332092789	6.38424416235122	4.37932173549513	3.81649539714883
CB21	9.12970990146745	4.36317371748594	-0.437858206688945	-1.56071495447448
CB23	9.81786668987481	1.85784761602695	-1.54303182025524	6.17635700068684
CB24	9.32227453201174	4.99364776623428	5.20124560403754	5.40251356786999
CB25	10.5435506790753	6.17545932224817	0.282063634009423	-1.89784545600551
CB26	11.1496676129233	5.08927922186232	-2.49066520409221	-1.15808986500534
CB27	8.72294701870698	4.65490377439309	1.42908044765637	2.98916827973849
CB28	9.5007256635077	2.6179569646417	0.730579959152895	5.54497052526427
CB33	10.5172808458544	6.33889795332981	-2.55537570473281	8.24440404197003
CB36	7.55625139108806	0.538539153669398	0.701615145973521	0.199105019539733
CB46	8.98369997587462	8.47349680375632	-2.77007390597814	-0.562478486569777
CB50	8.31402239888134	8.35698606152469	3.12891012581933	6.36252980257903
CB51	10.6319388745141	4.90555208148044	-1.94530447921375	0.423929330451972
CB55	7.88763008348753	6.95319513405184	2.91753783980803	2.77825380265684
CB57	10.9045955260957	2.59430036530049	-1.31259023030803	0.442871707475569
CB58	8.70561557889384	3.28744126815367	-1.29860992524164	-0.427919793180702
CB59	10.7695946519313	7.46302108685745	0.59216518687951	3.47704716155427
CB61	12.1662655777204	5.14783829845132	1.44706635347148	3.76119841895981
CB63	9.26952632320269	4.65760092155055	0.547487795302493	4.60131049480864
CB64	8.75820742383833	4.7536207578193	0.573521560184442	2.54685789569565
CB66	12.0178362754084	7.36295536314742	3.50119414302856	5.87244995027949
CB67	5.84862208400401	2.55551563463725	-0.00784033699999316	1.32982132713026
CB68	10.31935488311	7.08474251282246	4.43207594427184	6.61896182196723
CB69	9.89377267550446	6.55980811546099	1.99130030504961	3.11258314415076
CB70	10.4573995014368	5.03619854873139	2.10597978597485	5.69357549704886
CB72	8.87233374915656	5.33304005000759	1.01479700192808	3.9642366477986
CB80	9.55053132683583	6.46581778323171	0.0521376233351756	2.02062665058996
CB82	8.19648918329032	5.73428207479466	-4.30783326500158	-3.57086767083537
CB86	8.88578477918787	4.06847973788277	-3.88613203544172	0.864933755769339
CB87	8.90448409790142	4.88678001284767	-2.25899683916091	-2.3686213303354
CB88	10.2052157665272	3.36992824772528	-4.19162007254163	-3.84369676912132
CB89	9.10552452925329	6.47545502796803	0.441475059208146	-1.65725889437721
CB92	9.66242224006005	5.52065244420549	-2.86230044458445	0.427918790575576
CB93	6.06748037101284	7.54404621352484	3.93334285944099	4.55866805029391
CB95	10.2313802822869	8.91810710778093	-1.26886685113595	5.77916584528585
CB96	10.562751221631	5.43064871800827	-3.49185309632967	4.70999854656594
CB98	10.6374788470173	3.63885255660562	-1.41238304583287	-2.44095219802964
